,port,state,value,year
429,Baudette,Minnesota,475125,2016
430,Grand Portage,Minnesota,729561,2016
431,Pinecreek,Minnesota,13493,2016
432,Warroad,Minnesota,335442,2016
433,International Falls-Ranier,Minnesota,1867628,2016
434,Noyes,Minnesota,0,2016
435,Derby Line,Vermont,1828965,2016
436,Beecher Falls,Vermont,198542,2016
437,Norton,Vermont,117933,2016
438,Highgate Springs-Alburg,Vermont,2062121,2016
439,Richford,Vermont,310949,2016
440,Lynden,Washington,1563933,2016
441,Oroville,Washington,750843,2016
442,Ferry,Washington,31252,2016
443,Metaline Falls,Washington,103624,2016
444,Blaine,Washington,12797598,2016
445,Frontier,Washington,168926,2016
446,Laurier,Washington,163440,2016
447,Boundary,Washington,97624,2016
448,Sumas,Washington,2655660,2016
449,Port Angeles,Washington,202591,2016
450,Danville,Washington,100560,2016
451,Nighthawk,Washington,19643,2016
452,Point Roberts,Washington,2278819,2016
453,Anacortes,Washington,106792,2016
454,Friday Harbor,Washington,10230,2016
455,Eastport,Idaho,537518,2016
456,Porthill,Idaho,372460,2016
457,Sault Sainte Marie,Michigan,2060765,2016
458,Port Huron,Michigan,6740651,2016
459,Detroit,Michigan,14660148,2016
460,Algonac,Michigan,0,2016
461,Santa Teresa,New Mexico,2383393,2016
462,Columbus,New Mexico,1477932,2016
463,Skagway,Alaska,438455,2016
464,Ketchikan,Alaska,9143,2016
465,Alcan,Alaska,183034,2016
466,Dalton Cache,Alaska,64551,2016
467,Toledo-Sandusky,Ohio,0,2016
468,Calexico East,California,11407619,2015
469,Otay Mesa,California,24411844,2015
470,San Ysidro,California,47629073,2015
471,Tecate,California,3399496,2015
472,Calexico,California,16436626,2015
473,Andrade,California,2377624,2015
474,Cross Border Xpress,California,0,2015
475,Van Buren,Maine,498464,2015
476,Madawaska,Maine,1123721,2015
477,Vanceboro,Maine,95198,2015
478,Calais,Maine,2155200,2015
479,Houlton,Maine,915339,2015
480,Fort Fairfield,Maine,327859,2015
481,Bridgewater,Maine,160220,2015
482,Fort Kent,Maine,395522,2015
483,Jackman,Maine,603795,2015
484,Limestone,Maine,61312,2015
485,Eastport,Maine,369522,2015
486,Portland,Maine,24988,2015
487,Bar Harbor,Maine,0,2015
488,Nogales,Arizona,14700517,2015
