port,port_name,state,value,year
Alcan,Alcan,Alaska,198750,2018
Dalton Cache,Dalton Cache,Alaska,63343,2018
Toledo-Sandusky,Toledo-Sandusky,Ohio,373,2018
Calexico East,Calexico East,California,12163690,2017
Otay Mesa,Otay Mesa,California,27181889,2017
San Ysidro,San Ysidro,California,45983570,2017
Tecate,Tecate,California,3985503,2017
Calexico,Calexico,California,16482156,2017
Andrade,Andrade,California,2600148,2017
Cross Border Xpress,Cross Border Xpress,California,283263,2017
Van Buren,Van Buren,Maine,424196,2017
Madawaska,Madawaska,Maine,983547,2017
Vanceboro,Vanceboro,Maine,87143,2017
Calais,Calais,Maine,2033991,2017
Houlton,Houlton,Maine,895641,2017
Fort Fairfield,Fort Fairfield,Maine,296986,2017
Bridgewater,Bridgewater,Maine,138205,2017
Fort Kent,Fort Kent,Maine,306067,2017
Jackman,Jackman,Maine,604727,2017
Limestone,Limestone,Maine,51383,2017
Eastport,Eastport,Maine,379294,2017
Portland,Portland,Maine,23893,2017
Bar Harbor,Bar Harbor,Maine,0,2017
Nogales,Nogales,Arizona,15807150,2017
Naco,Naco,Arizona,943482,2017
Sasabe,Sasabe,Arizona,69905,2017
Douglas,Douglas,Arizona,5907149,2017
Lukeville,Lukeville,Arizona,1429434,2017
San Luis,San Luis,Arizona,11680865,2017
Trout River,Trout River,New York,498003,2017
Champlain-Rouses Point,Champlain-Rouses Point,New York,4338378,2017
Massena,Massena,New York,2404591,2017
Buffalo-Niagara Falls,Buffalo-Niagara Falls,New York,18208879,2017
Alexandria Bay,Alexandria Bay,New York,2344455,2017
Ogdensburg,Ogdensburg,New York,951780,2017
Cape Vincent,Cape Vincent,New York,20169,2017
Pembina,Pembina,North Dakota,1515594,2017
Portal,Portal,North Dakota,735432,2017
Neche,Neche,North Dakota,100509,2017
Sarles,Sarles,North Dakota,13509,2017
Hansboro,Hansboro,North Dakota,22218,2017
Walhalla,Walhalla,North Dakota,114410,2017
Antler,Antler,North Dakota,26038,2017
Noonan,Noonan,North Dakota,77107,2017
Westhope,Westhope,North Dakota,44872,2017
Fortuna,Fortuna,North Dakota,42321,2017
Northgate,Northgate,North Dakota,76984,2017
Sherwood,Sherwood,North Dakota,57824,2017
Ambrose,Ambrose,North Dakota,3183,2017
Dunseith,Dunseith,North Dakota,235405,2017
Carbury,Carbury,North Dakota,39484,2017
Maida,Maida,North Dakota,22008,2017
St. John,St. John,North Dakota,35151,2017
Hannah,Hannah,North Dakota,2929,2017
Progreso,Progreso,Texas,4947116,2017
Roma,Roma,Texas,2618738,2017
Boquillas,Boquillas,Texas,10965,2017
Rio Grande City,Rio Grande City,Texas,1362382,2017
Del Rio,Del Rio,Texas,5175016,2017
Eagle Pass,Eagle Pass,Texas,9806208,2017
Tornillo-Fabens,Tornillo-Fabens,Texas,1024806,2017
El Paso,El Paso,Texas,43506839,2017
Hidalgo,Hidalgo,Texas,17342098,2017
Brownsville,Brownsville,Texas,18301371,2017
Presidio,Presidio,Texas,2255459,2017
Laredo,Laredo,Texas,24041263,2017
Opheim,Opheim,Montana,10443,2017
Wildhorse,Wildhorse,Montana,49409,2017
Scobey,Scobey,Montana,17986,2017
Raymond,Raymond,Montana,113540,2017
Del Bonita,Del Bonita,Montana,87005,2017
Turner,Turner,Montana,30909,2017
Sweetgrass,Sweetgrass,Montana,955810,2017
Piegan,Piegan,Montana,372667,2017
Whitlash,Whitlash,Montana,2077,2017
Morgan,Morgan,Montana,19577,2017
Willow Creek,Willow Creek,Montana,3391,2017
Roosville,Roosville,Montana,506376,2017
Whitetail,Whitetail,Montana,0,2017
Lancaster,Lancaster,Minnesota,90961,2017
Roseau,Roseau,Minnesota,123588,2017
Baudette,Baudette,Minnesota,480871,2017
Grand Portage,Grand Portage,Minnesota,696566,2017
Pinecreek,Pinecreek,Minnesota,11904,2017
Warroad,Warroad,Minnesota,319508,2017
International Falls-Ranier,International Falls-Ranier,Minnesota,1936839,2017
Noyes,Noyes,Minnesota,0,2017
Derby Line,Derby Line,Vermont,1723755,2017
Beecher Falls,Beecher Falls,Vermont,204559,2017
Norton,Norton,Vermont,119238,2017
Highgate Springs-Alburg,Highgate Springs-Alburg,Vermont,1957812,2017
Richford,Richford,Vermont,303058,2017
Lynden,Lynden,Washington,1580477,2017
Oroville,Oroville,Washington,716525,2017
Ferry,Ferry,Washington,29400,2017
Metaline Falls,Metaline Falls,Washington,93701,2017
Blaine,Blaine,Washington,12975027,2017
Frontier,Frontier,Washington,172190,2017
Laurier,Laurier,Washington,139913,2017
Boundary,Boundary,Washington,101211,2017
Sumas,Sumas,Washington,2692366,2017
Port Angeles,Port Angeles,Washington,211559,2017
Danville,Danville,Washington,98162,2017
Nighthawk,Nighthawk,Washington,19111,2017
Point Roberts,Point Roberts,Washington,2309121,2017
Anacortes,Anacortes,Washington,97227,2017
Friday Harbor,Friday Harbor,Washington,10123,2017
Eastport,Eastport,Idaho,547256,2017
Porthill,Porthill,Idaho,344353,2017
Sault Sainte Marie,Sault Sainte Marie,Michigan,2053875,2017
Port Huron,Port Huron,Michigan,6813836,2017
Detroit,Detroit,Michigan,14252718,2017
Algonac,Algonac,Michigan,14338,2017
Santa Teresa,Santa Teresa,New Mexico,2360275,2017
Columbus,Columbus,New Mexico,1432262,2017
Skagway,Skagway,Alaska,454121,2017
Ketchikan,Ketchikan,Alaska,8357,2017
Alcan,Alcan,Alaska,179301,2017
Dalton Cache,Dalton Cache,Alaska,59851,2017
Toledo-Sandusky,Toledo-Sandusky,Ohio,0,2017
Calexico East,Calexico East,California,11962231,2016
